ViscoIntrinseca ; RgFloryFox 
28.677700 ; 34.3245124817  
32.134533 ; 35.6517028809  
36.324738 ; 37.1384468079  
38.421154 ; 37.8395881653  
38.537262 ; 37.8776664734  
38.379429 ; 37.8258857727  
38.404465 ; 37.8341102600  
33.136127 ; 36.0183258057  
33.331631 ; 36.0890235901  
37.419796 ; 37.5079574585  
41.354416 ; 38.7790260315  
42.744156 ; 39.2086448669  
42.322395 ; 39.0792579651  
41.954990 ; 38.9658508301  
41.030403 ; 38.6774826050  
36.571980 ; 37.2225189209  
37.351368 ; 37.4850769043  
41.695114 ; 38.8852272034  
45.351742 ; 39.9902648926  
45.991417 ; 40.1774024963  
45.126911 ; 39.9240722656  
44.666050 ; 39.7876968384  
41.869877 ; 38.9394798279  
39.270401 ; 38.1163558960  
40.829178 ; 38.6141471863  
45.177219 ; 39.9388999939  
48.527954 ; 40.9028511047  
48.459526 ; 40.8836212158  
47.470566 ; 40.6035842896  
46.946999 ; 40.4537620544  
42.322395 ; 39.0792579651  
41.537281 ; 38.8361015320  
43.843266 ; 39.5418739319  
48.000095 ; 40.7540092468  
50.607677 ; 41.4790115356  
49.998756 ; 41.3119773865  
48.983334 ; 41.0303993225  
48.467873 ; 40.8859672546  
43.272015 ; 39.3693847656  
43.186901 ; 39.3435554504  
46.255585 ; 40.2541809082  
50.058838 ; 41.3285217285  
51.895378 ; 41.8278732300  
51.110504 ; 41.6159362793  
50.189968 ; 41.3645744324  
49.627300 ; 41.2094192505  
44.605968 ; 39.7698478699  
44.755455 ; 39.8142204285  
48.382755 ; 40.8620147705  
51.852222 ; 41.8162803650  
52.978035 ; 42.1167526245  
51.899670 ; 41.8290290833  
51.025387 ; 41.5928192139  
49.836632 ; 41.2672767639  
45.655010 ; 40.0792045593  
46.263931 ; 40.2565994263  
49.982067 ; 41.3073806763  
53.079842 ; 42.1437149048  
53.779598 ; 42.3281021118  
52.691696 ; 42.0407371521  
51.949974 ; 41.8425407410  
49.163578 ; 41.0806617737  
46.691177 ; 40.3801460266  
47.892567 ; 40.7235488892  
51.584003 ; 41.7440528870  
54.270027 ; 42.4563751221  
54.303406 ; 42.4650802612  
53.293701 ; 42.2002372742  
52.560326 ; 42.0057678223  
48.301693 ; 40.8391799927  
47.518250 ; 40.6171798706  
49.367424 ; 41.1373596191  
52.815910 ; 42.0737495422  
54.802177 ; 42.5946960449  
54.512974 ; 42.5196380615  
53.595303 ; 42.2796936035  
52.961109 ; 42.1122665405  
48.285004 ; 40.8344802856  
48.187252 ; 40.8069038391  
50.713776 ; 41.5079803467  
53.869007 ; 42.3515434265  
55.020092 ; 42.6510810852  
54.594036 ; 42.5407066345  
