[NaCl] ; Mw90 
-0.000009 ; 771.956421 
-0.000009 ; 574.862488 
-0.000009 ; 706.260559 
0.000000 ; 197.097031 
0.000000 ; -57.484722 
0.000000 ; 385.979736 
0.000000 ; 320.280762 
0.000000 ; 1092.237183 
0.000000 ; 2168.052002 
0.000000 ; 960.842285 
0.000000 ; 2168.052002 
0.000000 ; 2611.516602 
0.000000 ; 2299.447021 
0.000008 ; 1149.724976 
0.000008 ; 2044.865356 
0.000008 ; 2488.329590 
0.000008 ; 3186.379150 
0.000008 ; 3317.774170 
0.000008 ; 4393.588867 
0.000017 ; 4262.190918 
0.000017 ; 4204.706543 
0.000017 ; 4327.889648 
0.000017 ; 5025.936035 
0.000017 ; 6430.242676 
0.000025 ; 6619.125488 
0.000025 ; 7506.054688 
0.000025 ; 8146.616211 
0.000034 ; 9353.826172 
0.000034 ; 10060.083008 
0.000034 ; 10626.735352 
0.000042 ; 12285.619141 
0.000042 ; 14642.554688 
0.000051 ; 18592.675781 
0.000059 ; 20054.472656 
0.000059 ; 22411.406250 
0.000068 ; 26164.433594 
0.000077 ; 30558.021484 
0.000085 ; 35263.675781 
0.000094 ; 36470.886719 
0.000111 ; 40544.187500 
0.000128 ; 45701.531250 
0.000145 ; 49832.324219 
0.000162 ; 55507.027344 
0.000187 ; 64088.902344 
0.000212 ; 72555.789063 
0.000238 ; 75676.476563 
0.000272 ; 87124.429688 
0.000297 ; 97003.851563 
